"","PC1","PC2","PC3"
"val1",-1.14296953930488,0.0933191376081355,1.02278678113051
"val2",-0.17027517141649,0.519542851559396,1.51967788789596
"val3",-0.480651793955759,0.921875192759511,0.787881944876814
"val4",-2.47511516861959,1.04095825328637,-1.28830908212128
"val5",-1.32893511719417,0.868949013748588,0.0150159955102098
"val6",-0.341573458956738,0.674090952680482,1.18772036388818
"val7",-2.40847797363989,-0.063566209407153,-0.0471184500381345
"val8",-0.755950905976842,0.470961093474325,0.999060873787891
"val9",0.988769582094658,1.63141329578843,1.46853306178788
"val10",-0.733682858620593,1.52016544693015,-0.0964974403164062
"val11",0.236204217519613,1.07519837916721,1.32540393416519
"val12",-1.62128479752777,0.521192342424042,0.0997866268942252
"val13",-0.512800971512867,1.00489609613307,0.668118532993556
"val14",-1.05702261997034,1.50060934098238,-0.391771886898995
"val15",-1.41192452561575,0.644852996322553,0.172717499555356
"val16",0.0429300430350323,0.815535376958805,1.41287476887107
"val17",0.187808274572442,0.669667963745486,1.70986725877467
"val18",0.140993672894389,0.589650009194209,1.74928751413147
"val19",0.218581584312445,1.04500302749343,1.34019325223455
"val20",-0.211275448299578,0.131750070562085,1.89255714051981
"val21",-2.19825746953875,-0.806379271777088,0.949436379638045
"val22",-1.60388392234708,-1.36914757817593,2.12966123955154
"val23",-2.40183340334661,-0.219843273351752,0.125971079626112
"val24",-0.223167303522323,1.73797543905949,0.170504376585025
"val25",-1.59318819419025,-0.56941898395494,1.28856705750711
"val26",-0.458757141308609,0.620753688488607,1.12998887419647
"val27",-1.16884361034642,0.914445019382167,0.123169404728781
"val28",-0.878911823305228,0.900381368629509,0.421532639536253
"val29",-0.673026369684092,1.92433933967599,-0.46761240064391
"val30",-0.596178070449415,1.27264996248983,0.301432679681381
"val31",0.00953519969529593,1.26027389035467,0.906762988314879
"val32",-1.56436394863962,-0.257249257415922,0.984365252328102
"val33",-0.562774142345922,1.09448215110569,0.523762636603128
"val34",-0.75832644691563,0.181556189030104,1.30490465066118
"val35",-1.73428133036702,0.617115754149281,-0.112949781420711
"val36",-1.51864562875308,0.414574175605095,0.313537539140669
"val37",-0.163687544670177,2.64535769401883,-0.737592912507129
"val38",-0.640488563176354,0.778952358020287,0.783836540940171
"val39",0.0280370277570266,1.40401294338399,0.771690189165179
"val40",-0.94400213450614,1.79688272309294,-0.596775683746852
"val41",-0.316713485092783,1.0985946069435,0.760014543257875
"val42",0.357026341392568,2.06027882363734,0.394464871302486
"val43",-1.61619807556146,0.805536030084435,-0.198121999270049
"val44",-0.726580671614726,1.08540409668424,0.373354738298944
"val45",-0.167320029061395,1.2606782962249,0.733444323501582
"val46",-1.23676011803982,0.845661077233803,0.130012907380615
