"","PC1","PC2","PC3","PC4","PC5","PC6"
"sub15",1.11244052669214,-1.46317870839328,-0.557598561101599,-0.389750759159955,-1.2882762346554,-1.28819489916677
"sub16",-1.43607151044545,-1.58063506539552,-1.37836634394782,1.07261321221833,-0.88573747522324,0.601173771551004
"sub17",0.0108425410985805,-0.755314272822829,-0.0461774815258138,0.90369564558526,-0.613970291422283,-1.06712459270346
"sub18",-1.34383223766033,-0.816041660689065,0.167557495578519,1.22791104071709,-1.24425772024448,1.4653624886398
"sub19",-0.488607537505237,-0.243475599301522,-1.05842393233055,-1.71400672095624,0.789540596597751,-0.422325241707409
"sub20",0.947671980905951,0.237077563336157,-0.713523415141342,-0.92612032599313,-0.0292069088985129,0.162909215655768
"sub21",0.917287579694382,0.663231759713192,0.526906028601021,-1.79688752481333,-0.357616297938565,1.11042121652283
"sub22",0.90983570283329,1.0798034968116,-0.895221551933995,1.41305510716999,0.423474502827312,0.13702665034412
"sub23",1.32348891610207,1.5813610669241,-0.670418602077494,1.12797185173547,0.966451391657537,-0.563817417802374
"sub24",-0.491583610824782,1.2591260973008,1.40748901777848,-0.340545477817112,0.412449047990452,0.796313845851963
"sub25",0.850102445884689,1.75044670006997,0.75766954345129,0.0847522347512181,0.314912458801401,0.97132159737932
"sub26",-1.27480759448186,0.136357086750327,1.2259405716377,-0.0838640099489203,0.0358492426345406,0.145235692882748
"sub27",0.930564473040452,0.947772114593169,0.4432742724086,1.62501816235567,-0.215307900091549,-0.0814873508568085
"sub28",-1.11983904991434,0.302797230081612,2.06187568565016,0.138620623479142,-0.252600111658318,0.0990847500503069
"sub29",0.2613262126874,-0.674239605038498,-0.130550941110414,-1.31627821589824,-0.587851879472235,-0.148137326176973
"sub30",0.458346567793947,0.749175545093726,0.222930892661048,-0.448292604129916,0.822972643806586,-1.19922768013914
"sub31",0.477899358328767,0.846217972057724,-0.983919762041763,0.62326632440907,0.414730746554938,0.586490517598776
"sub32",1.24211558747145,0.213677914821955,0.591399637199963,0.513472175063961,-1.58523669472961,1.44221425070929
"sub33",1.85127045957214,0.181166795917793,-0.195474908895928,0.838476446955156,-0.874669441059729,-0.365893149117139
"sub34",-0.144026415037305,0.897696533879724,-1.3803819565155,-0.76706693194799,1.33543330820889,0.320585548337774
"sub35",0.134411182258937,-0.513149602597093,1.20053460365939,0.729398489483025,-1.17063603647743,-0.504061030712139
"sub36",-0.447281310215953,0.427075722501344,-0.121588913783649,0.817328663482025,0.299283119780211,0.0924259900015687
"sub37",0.538220487897842,-1.08052565931164,0.445688133971179,0.0100925156115015,-1.03947616120639,-1.48201346779908
"sub38",0.277640991837003,0.615278042520224,-1.71155167460226,-0.659490977302924,1.43468680211858,-0.754322908950977
"sub39",-1.99747109507553,-1.40608166640348,0.811501429495412,-0.298013121367771,-0.890838289434657,0.193690950856059
"sub40",-0.465042844362888,-0.699900579576561,-1.66551479622832,-2.01091217301848,-0.0484463960597153,1.17591064006955
"sub41",-1.19768854530258,0.671477901665121,-0.31810827619961,0.49760619960156,1.42855222259945,-0.754086503554891
"sub42",0.156924061695807,-0.335078731187564,-1.77779184471704,0.359922629282254,-0.436798414714264,1.17687760252646
"sub43",0.314719500629103,1.0632493064449,0.986211623914912,-0.745754509257311,0.0638034193922543,0.812060313429251
"sub44",-0.918064905840205,0.974904013374083,0.0378491605185049,-0.136896142961926,0.966843099710453,0.600730984435145
"sub45",0.178812387664795,1.08955612703856,1.21343752149936,1.75551843047266,-0.488896771818929,0.940485910242768
"sub46",-0.296116964070883,0.0679595286957536,-0.811499503070125,-0.104534009166973,0.00638403575659297,0.870390356594996
"val1",2.11562574545983,0.202443456436348,0.496255913015119,0.300957104621999,1.127276626807,-0.504801842455537
"val2",1.21756264585131,-1.0705144298726,-0.420867267614506,1.29345883328913,0.17339192046681,0.332994440473395
"val3",-0.21303444562375,-0.135016864706905,1.71679797748109,0.374656401834644,1.13052933330542,0.252561902136525
"val4",0.430350096080997,-1.54530205320817,1.06713823070495,-2.24306466794615,0.479101770449382,-0.305619827892417
"val5",-0.502601809897753,-1.71030883315525,-0.159358837613835,-1.06682892568159,0.344907335568485,1.34947820158924
"val6",0.14015941464316,-0.36674414207907,0.226778255227928,0.53225019794039,1.113457604336,0.713567594443491
"val7",1.78950384250104,-0.86817244771983,1.86560656409435,-1.07421076269288,-0.266537380280047,0.0309444511884388
"val8",0.970373858021516,-0.26434427847297,0.675253713173477,0.412643453958143,0.894986841166688,0.105691777550248
"val9",-0.220710883868377,-2.06777554628281,-0.486883130105873,2.18028657621795,-0.167141589367879,0.239919147076005
"val10",0.152333018698913,-2.1141172829716,-2.56454919136422,-0.694298716823161,1.05925901571864,0.17486269914501
"val11",-0.571923202505418,-0.433571526446658,1.07737597583717,1.15653094652493,0.963676071516574,0.643973410517713
"val12",1.95528095167792,-1.17463795237226,-0.917643722884048,-0.689198329437124,0.658743093460774,-0.491191401117725
"val13",-1.02513114105243,-0.565269681852046,1.84603473883059,0.101846767814858,0.799505006026882,1.00561479874942
"val14",0.246921846584882,-1.08515832961126,-0.176767748756691,-0.803207100302401,1.41059749273704,-0.686740938623647
"val15",1.43890122340051,-0.356204199512645,-0.108167998389921,-0.632928942468704,1.41001256157981,-0.601690111413715
"val16",0.865027889124809,-0.942200258468659,0.0175928232614624,1.41501003904128,0.392201189093324,0.0520304757117895
"val17",0.771735310873989,0.461572669362064,0.400456496433825,1.4233693462781,1.70476911651303,-0.116848590182496
"val18",0.696702694433276,-2.22401004532931,0.0780944728980185,1.91525090869009,-1.32504097444962,1.06919086253862
"val19",-0.015104930673817,-1.07782065204323,-0.706907386764474,1.08645495805958,0.79840219760756,0.680335967899803
"val20",1.55987194843206,-0.545141736129183,-0.686485801955447,1.35557079448825,0.502984635628577,0.564062888889772
"val21",1.96996794754219,0.500047930021434,-0.0196486124068421,-1.12395353415612,1.29110287627285,1.084518299096
"val22",3.08486442247903,0.794634626842409,0.0658984033422315,0.413364776651412,0.702689367118635,1.00898373725524
"val23",2.28267633468799,-1.01523862134374,0.81107298939347,-1.01743004296093,-0.248274724791931,0.0680170066078897
"val24",-0.172171544497379,-1.41529005971304,2.12021310661115,0.803806749182418,0.107272684606625,-0.854156654609396
"val25",1.11311857901071,0.135527644324229,1.16514790862021,-0.290646537304607,0.5353502414463,1.5023608937
"val26",0.251366662770783,-0.525699842767205,0.551153340437771,0.539619581625399,0.780903800767402,0.68459286197127
"val27",1.3308316375506,-0.981728458466682,-0.654053974715662,-0.416986616729961,1.06283371643073,-0.641437481458621
"val28",0.649080360480753,-2.12656706071464,0.0695260091450404,0.199692232387606,-0.552811720263963,0.35829636030851
"val29",-0.4593991436533,-1.54948256550429,-0.336831872315794,-0.626476493225534,1.2826472653324,-0.527216248994712
"val30",0.395325364303694,-1.03392238725571,0.548866647836167,0.212335870210929,0.793780061571117,-0.483091063143548
"val31",0.0601763420805499,-1.56759661356288,-1.03517077042096,0.741064015854123,0.612161261902992,0.407823037874138
"val32",1.24993333409319,-0.969450460212105,-0.0485837001271507,-0.366519631111984,-0.0322474499170924,1.39247329136299
"val33",0.201311789559332,-1.8923589741462,-0.0289086737839144,0.330936119179917,-0.114618383970493,0.423998746762099
"val34",1.61958482242061,-0.210790912016648,1.992973003438,1.09930486049264,0.0845857662622224,-0.235567196078374
"val35",0.96864275433767,-1.95534435958712,0.749192072811354,-0.706656330185932,-0.606448602020614,0.255465636349179
"val36",1.32486671752905,-0.919370888211307,-0.0613090282799244,-0.589217653256904,0.593690822445085,0.0942160414904444
"val37",-0.935043975447106,-2.3257000787562,-2.46132590678272,-0.703990241173903,1.73438233800183,-0.671915503448622
"val38",2.19055226904636,-1.07761112193375,0.536995941405834,1.08350919111826,0.0347266139340029,-1.30809032825936
"val39",0.111046943568479,-0.536554824554833,1.24502558791428,1.02727075042316,1.03331578247132,-0.636293372155892
"val40",-1.68907414321254,-1.48187469922961,1.31010890465387,-1.0793031253118,0.909828500848386,0.545940181066869
"val41",0.402106064773757,-1.39143285991262,-0.181516824332278,0.62268359596541,0.40597853983675,0.115786515677442
"val42",-0.389998067859408,-1.13195244547221,0.193767441442537,0.913441017925712,1.29107741918732,-0.910092925299612
"val43",0.100609024993382,-0.494358241366695,1.71103781098623,-1.06977832298365,0.978903941216541,0.105885378463351
"val44",0.219676049815558,-0.384477283266695,0.53847371338431,-0.12257196517581,1.46249399281196,-0.216136434984264
"val45",-1.34158396582412,0.0688026611107545,0.907966896842283,0.00518463522067902,2.0496588401636,0.841569868490448
"val46",0.259652539889151,-1.33212727472189,0.628020581366578,-0.518582645025291,0.298294492602947,0.409565165608354
