"","comparison","JI"
"484","13-23",0
"485","13-24",0.25
"486","13-25",0.2
"487","13-26",0
"488","13-27",0.4
"489","13-28",0.5
"490","13-29",0.4
"491","13-30",0.25
"492","13-31",0
"493","13-32",0.4
"494","13-33",0.2
"495","13-34",0.666666666666667
"496","13-35",0.2
"497","13-36",0.25
"498","13-37",0.333333333333333
"499","13-38",0.5
"500","13-39",0
"501","13-40",0.4
"502","13-41",0.6
"503","13-42",0.5
"504","13-43",0.75
"505","13-44",0.75
"506","13-45",0.666666666666667
"507","13-46",0.666666666666667
"508","14-15",0.5
"509","14-16",0
"510","14-17",0.333333333333333
"511","14-18",0
"512","14-19",0
"513","14-20",0
"514","14-21",0.333333333333333
"515","14-22",0
"516","14-23",0.333333333333333
"517","14-24",0
"518","14-25",0.333333333333333
"519","14-26",0.5
"520","14-27",0.25
"521","14-28",0
"522","14-29",0.25
"523","14-30",0.5
"524","14-31",0
"525","14-32",0.25
"526","14-33",0.333333333333333
"527","14-34",0
"528","14-35",0.333333333333333
"529","14-36",0.5
"530","14-37",0
"531","14-38",0.333333333333333
"532","14-39",0
"533","14-40",0
"534","14-41",0.2
"535","14-42",0.333333333333333
"536","14-43",0
"537","14-44",0
"538","14-45",0
"539","14-46",0
"540","15-16",0.333333333333333
"541","15-17",0.666666666666667
"542","15-18",0
"543","15-19",0.166666666666667
"544","15-20",0
"545","15-21",0.666666666666667
"546","15-22",0
"547","15-23",0.666666666666667
"548","15-24",0.333333333333333
"549","15-25",0.666666666666667
"550","15-26",1
"551","15-27",0.2
"552","15-28",0
"553","15-29",0.5
"554","15-30",0.333333333333333
"555","15-31",0.5
"556","15-32",0.2
"557","15-33",0.666666666666667
"558","15-34",0
"559","15-35",0.666666666666667
"560","15-36",0.333333333333333
"561","15-37",0
"562","15-38",0.25
"563","15-39",0
"564","15-40",0.2
"565","15-41",0.166666666666667
"566","15-42",0.25
"567","15-43",0
"568","15-44",0.2
"569","15-45",0
"570","15-46",0
"571","16-17",0.25
"572","16-18",0.5
"573","16-19",0.4
"574","16-20",0
"575","16-21",0.666666666666667
"576","16-22",0
"577","16-23",0.25
"578","16-24",0.333333333333333
"579","16-25",0.25
"580","16-26",0.333333333333333
"581","16-27",0.2
"582","16-28",0
"583","16-29",0.5
"584","16-30",0
"585","16-31",0.5
"586","16-32",0
"587","16-33",0.666666666666667
"588","16-34",0.333333333333333
"589","16-35",0.25
"590","16-36",0.333333333333333
"591","16-37",0.5
"592","16-38",0.25
"593","16-39",0
"594","16-40",0.5
"595","16-41",0.166666666666667
"596","16-42",0.25
"597","16-43",0.2
"598","16-44",0.5
"599","16-45",0
"600","16-46",0.333333333333333
"601","17-18",0
"602","17-19",0.333333333333333
"603","17-20",0.25
"604","17-21",0.5
"605","17-22",0
"606","17-23",0.5
"607","17-24",0.25
"608","17-25",1
"609","17-26",0.666666666666667
"610","17-27",0.166666666666667
"611","17-28",0.2
"612","17-29",0.75
"613","17-30",0.666666666666667
"614","17-31",0.333333333333333
"615","17-32",0.4
"616","17-33",0.5
"617","17-34",0
"618","17-35",1
"619","17-36",0.25
"620","17-37",0
"621","17-38",0.5
"622","17-39",0
"623","17-40",0.166666666666667
"624","17-41",0.333333333333333
"625","17-42",0.2
"626","17-43",0.166666666666667
"627","17-44",0.4
"628","17-45",0.25
"629","17-46",0
"630","18-19",0.2
"631","18-20",0
"632","18-21",0.333333333333333
"633","18-22",0
"634","18-23",0
"635","18-24",0
"636","18-25",0
"637","18-26",0
"638","18-27",0.25
"639","18-28",0
"640","18-29",0.25
"641","18-30",0
"642","18-31",0
"643","18-32",0
"644","18-33",0.333333333333333
"645","18-34",0.5
"646","18-35",0
"647","18-36",0.5
"648","18-37",1
"649","18-38",0.333333333333333
"650","18-39",0
"651","18-40",0.25
"652","18-41",0.2
"653","18-42",0.333333333333333
"654","18-43",0.25
"655","18-44",0.25
"656","18-45",0
"657","18-46",0.5
"658","19-20",0.4
"659","19-21",0.333333333333333
"660","19-22",0.2
"661","19-23",0.333333333333333
"662","19-24",0.4
"663","19-25",0.333333333333333
"664","19-26",0.166666666666667
"665","19-27",0.5
"666","19-28",0.6
"667","19-29",0.5
"668","19-30",0.166666666666667
"669","19-31",0.2
"670","19-32",0.5
"671","19-33",0.333333333333333
"672","19-34",0.4
"673","19-35",0.333333333333333
"674","19-36",0.166666666666667
"675","19-37",0.2
"676","19-38",0.333333333333333
"677","19-39",0.2
"678","19-40",0.8
"679","19-41",0.666666666666667
"680","19-42",0.333333333333333
"681","19-43",0.8
"682","19-44",0.8
"683","19-45",0.4
"684","19-46",0.4
"685","20-21",0
"686","20-22",0
"687","20-23",0.25
"688","20-24",0
"689","20-25",0.25
"690","20-26",0
"691","20-27",0.2
"692","20-28",0.666666666666667
"693","20-29",0.2
"694","20-30",0.333333333333333
"695","20-31",0
